"b_price_cn_1","b_price_jp_1","b_organic_1","b_spec_1","asc_nobuy_1","b_price_cn_2","b_price_jp_2","b_organic_2","b_spec_2","asc_nobuy_2","b_price_cn_3","b_price_jp_3","b_organic_3","b_spec_3","asc_nobuy_3","delta_class2","gamma_china_class2","gamma_seg1_class2","gamma_seg2_class2","gamma_seg3_class2","gamma_seg4_class2","delta_class3","gamma_china_class3","gamma_seg1_class3","gamma_seg2_class3","gamma_seg3_class3","gamma_seg4_class3","logLike"
-0.12,-0.026,1.4,1.22,-9.5,-0.27,-0.015,-0.2,0.1,-2.8,-0.15,-0.02,0.5,0.5,-3,0,0,0,0,0,0,0,0,0,0,0,0,-4542.86635765681
-0.116818280058753,-0.0260181160360297,1.41742633995485,1.23207058478391,-9.64290317295649,-0.322223644248581,-0.0131698514001989,-0.687564803471482,0.260896832365402,-2.82793062208139,-0.157974825523853,-0.0192857569935889,0.607183347947918,0.566386993978983,-3.06904646855966,-0.662576466273313,-0.505550268581743,-0.172037880862239,-0.372882848332848,-0.446194760834767,-0.527979379364058,-0.62093925555654,0.662335344318294,-0.891419279683553,-0.392780302605754,-0.502605079965374,-0.550817300156421,-4314.70029653767
-0.105933828302228,-0.0261362471006615,1.43361658685885,1.27998408105294,-9.90254669657254,-0.415680057900738,-0.014113549640542,-1.09599262065823,0.147516455374857,-3.32730987257589,-0.175837820187697,-0.0192854832009733,0.811123119640796,0.677042417369533,-3.07345410023277,-1.17391640499109,-0.328983170608712,-0.268320742831275,-0.390441425877929,-0.692110442013577,-0.82167389928293,-1.54750115212324,1.45097719677983,-1.24061546418267,-0.372092242313216,-0.465289620140083,-0.885934310100444,-4231.59367577679
-0.0872371204209292,-0.0262224346196133,1.4452444054525,1.33378772241847,-10.0139243193482,-0.531923848435848,-0.0170885250919968,-1.12143515865943,0.0460414681331083,-3.92259498498654,-0.189022374644341,-0.0201270226542295,1.05474325937884,0.875752506979871,-3.18469284349837,-1.39691419335773,0.102217408788712,-0.291791775413593,-0.233612844918039,-0.661174017793857,-0.850423290210688,-2.04760155397007,2.14243192951498,-0.691136478834972,-0.0967332558896576,0.00391317559047971,-0.40346753166082,-4177.49313598604
-0.0204362692905776,-0.0250779658584049,1.39515554582841,1.53751826596233,-9.63693228342232,-0.660986152740084,-0.0217484775947443,-0.970709467132482,-0.168666183361994,-4.86679924287851,-0.208188622721799,-0.0219322364611277,1.48176356492391,1.164312364365,-3.49073809431199,-1.93266537859798,1.36824269184293,0.119331604184274,0.33262197515342,-0.0155423496943365,-0.492175415562523,-3.56595640188677,4.52394350867011,-0.100025330525957,0.589049647028308,1.00304207870251,0.310676800656055,-4119.07133027107
-0.00265304473917985,-0.0261318266730964,1.42931296657752,1.42267791518353,-9.93643390117679,-0.68680117532261,-0.0224269426919566,-1.96888503441327,-0.524762877767131,-5.38474915674565,-0.20903764876847,-0.0211313534346723,1.34687332981017,1.16011887138304,-3.53302087724104,-2.19116799820122,1.68892111703646,0.318192000781263,0.516991664612742,0.228737676953674,-0.496515025628303,-3.01774308317461,3.73912482266218,-0.252434661601435,0.476633500767428,0.871306172616244,0.217332655538576,-4075.95923343745
0.0390060194372961,-0.0261753726598219,1.43838865838756,1.45321048435071,-9.95918291919585,-0.795938737660088,-0.0274853399623066,-0.196337760957414,0.058331722376145,-5.63013318265673,-0.204161730007598,-0.0201603806255452,1.40713679907755,1.26797101074386,-3.51782726978752,-1.92055652843233,1.61202098469041,0.237589588963737,0.503035481347559,0.272686118935324,-0.590255800846443,-3.46944393178413,4.42128594583654,-0.351732006639207,0.350152814171475,0.733542003380018,0.217734159937519,-4062.49522881502
0.122401668970365,-0.0288806496195844,1.56123487745752,1.21361920034537,-10.811860696421,-0.946696690843268,-0.0321499320930638,-1.07827336504209,-0.0269395710522505,-6.63402964011732,-0.194811336983207,-0.0111228893080544,1.31462515981516,1.45526455451472,-3.53066319796387,-2.16416943193796,2.19336985545729,0.297721932257451,0.546202533625373,0.743358467352177,-0.764713772089912,-4.62656120434781,5.6865805406072,-0.425053911543891,-0.0499809368724237,0.592581347178757,0.0607372759419291,-4054.61563535771
0.120604110481889,-0.0320273512523943,1.63984745923031,1.52880759167839,-11.6021446149248,-0.849805538638324,-0.0296628376834548,-1.0613013905203,-0.0398993391978895,-6.22342437898347,-0.198489494999663,-0.0090345147885923,1.40431143953694,1.38301568140672,-3.62487525692413,-1.67984118555155,1.38309357467023,0.485728366918935,0.452667679544247,0.402095269354613,-0.747994635343307,-2.3267489681375,3.46303747709225,0.328655263654081,0.253350544451763,0.401090580494819,-0.265294238779139,-3915.16358422033
0.119096649506796,-0.0444106690515775,1.96720821389037,1.85725151404809,-15.2882497216852,-0.829695537911062,-0.0288255207560406,-1.05875928438174,-0.0981403508167478,-6.1387829265228,-0.194560296595957,-0.00868017464936475,1.35120385350357,1.38304884184612,-3.60816198952472,-0.980165940639153,0.910224949686504,0.283227765840999,0.264234771026908,0.133576508960705,-0.833254331539881,-0.859897833121716,2.1694229771948,-0.36569109552312,0.0890141636931167,0.172749733914185,-0.16233165637826,-3815.21678040678
