"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_price_cn",-0.144642727199896,0.00563311553382558,-25.6772165121324,0.00817111930624033,-17.7017030077423
"b_price_jp",-0.0230135227490044,0.000673245479509366,-34.1829591871537,0.00102618726915239,-22.4262407464995
"b_organic",0.950223664752314,0.0667035692350357,14.2454695550716,0.0811098093103576,11.7152743032152
"b_spec",0.863213100184689,0.0685212353276626,12.5977457361485,0.0809607266581249,10.6621214484623
"b_org_eio",0.453710054376713,0.0833982247560326,5.44028431904833,0.133989272209781,3.38616701840397
"b_org_eios",0.14868610364885,0.0900943418601152,1.65033786338888,0.151272842679783,0.982900175701671
"b_spec_eis",0.0927461046622276,0.102513808464238,0.904718164817589,0.136839132475394,0.67777471973454
"b_spec_eios",0.171862626801677,0.113185758668539,1.51841211141211,0.157842735846545,1.08882189528673
"asc_nobuy_cn",-2.3811282652206,0.104989996583389,-22.6795727470032,0.155933888228054,-15.270114099497
"asc_nobuy_jp",-6.85778120458736,0.2115499758182,-32.4168375726062,0.360155968840425,-19.0411427212132
"gamma_seg1",0.229106712219395,0.156152132454209,1.46720194350583,0.281467121683618,0.813973265683662
"gamma_seg2",0.338948141495873,0.122891011081245,2.75811988617938,0.211046910382528,1.60603223653699
"gamma_seg3",0.21571444677315,0.143730400688863,1.50082686571029,0.26022080179383,0.828966959159775
"gamma_seg4",-0.459338141237154,0.163828994006782,-2.80376586587683,0.28382317241358,-1.61839548663707
