"b_price_cn","b_price_jp","b_organic_att","b_spec_att","asc_nobuy_att","asc_nobuy_no","delta_att","gamma_eio_att","gamma_eis_att","gamma_eios_att","logLike"
-0.15,-0.02,1,0.8,-2,-2,0,0,0,0,-9243.37442158017
-0.151726669279269,-0.0201829985664726,1.0644127291385,0.876137487994831,-2.07598214918069,-1.87980884143444,0.961387329120756,0.265933447156945,0.211814847945158,0.208645431458735,-8816.12072168914
-0.149149070225011,-0.0213515240300029,1.17565168184726,0.959091809580311,-2.45636997488756,-1.43126591534398,1.01547061092805,0.188557496624143,0.00302500533247985,-0.055509756515853,-8307.39795278491
-0.163745602786782,-0.0258774303078604,1.50899295259056,0.915733335948651,-3.8655618212,-0.317930767572099,1.60719865985577,0.0985156607466287,-0.384577722985608,-0.329596561226899,-7351.6160336516
-0.155898329120727,-0.0294426425025642,1.62042476285052,0.867215995903307,-5.06899165142272,-0.92602781963606,2.06230679410115,0.254052930556495,0.149718421663257,-0.0647467127904464,-6707.35297086985
-0.139993226176269,-0.0307487868074002,1.62446605997618,1.03000091087525,-5.80762863336127,-1.49888608570522,1.87317452390721,-0.176728332559869,-0.221405177484734,-0.489875784374642,-6109.42816026776
-0.145066599664474,-0.0319840750818321,1.69718034771102,1.11771314882891,-6.63156590009111,-1.95856777973552,2.34241359850362,-1.19396770715535,-1.50494506252706,-1.35202344495383,-5623.09777387362
-0.149721438784291,-0.0309123342374694,1.65283830422952,1.25598547282963,-7.0205779514014,-2.09425841992787,2.92488871126984,-1.74895075915873,-2.00767491603902,-1.78959927436087,-5192.75880210254
-0.154731624270812,-0.0287634229645583,1.57560180593779,1.39834651563783,-7.4026044175757,-2.0820421391986,2.87988101868293,-1.59176716896984,-1.95014087016033,-1.71512720494862,-4858.61511699694
-0.160643134682549,-0.0266830044717701,1.73806446735294,1.7872435603497,-8.13841359433417,-2.08605209361112,2.50551468998061,-1.80928335676936,-2.37073633515739,-1.90869399806053,-4806.63390484825
-0.160795775236827,-0.0269846206721923,1.71669209613312,1.74662275612859,-7.98118276039082,-2.08958146698614,2.56437236776923,-1.71803857348586,-2.27581341409498,-1.82946870672919,-4792.16854215624
