"b_price_cn_1","b_price_jp_1","b_organic_1","b_spec_1","asc_nobuy_1","b_price_cn_2","b_price_jp_2","b_organic_2","b_spec_2","asc_nobuy_2","delta_class2","gamma_china_class2","gamma_seg1_class2","gamma_seg2_class2","gamma_seg3_class2","gamma_seg4_class2","logLike"
-0.1,-0.01,1,1,0,-0.1,-0.01,0,0,0,0,0,0,0,0,0,-9480.36254447258
-0.0982191884338074,-0.00986747586677369,1.02188512289149,1.02385263475189,-0.0532846930479629,-0.138802812182145,-0.00939629153519522,-0.67173463034267,0.165909871793867,-0.641394623901847,-0.64900856938376,-0.787104727999512,-0.178868512712182,-0.127900511147562,-0.155097177996645,-0.13551954224188,-8785.18041910086
-0.0985439719704032,-0.0103010940909059,1.01696644490111,1.01723465970776,-0.402391235812602,-0.219391836408245,-0.0122251316870315,-1.09939425603013,-0.0592949946214764,-1.47336939229133,0.167467230254571,-1.68454081645247,-0.140275684884127,-0.089714293214198,-0.203917476429687,-0.209269095294233,-8081.33158369084
-0.105802232715638,-0.0148421047454373,1.15317802904914,0.987821436095357,-1.90210019760592,-0.283069667024227,-0.0152632448954065,-5.90263209658786,-1.90118003560801,-4.36852178780956,-2.29064418641206,2.32854415382949,0.200267399922926,0.239789007764656,-0.208991466813957,-0.414214743092823,-6554.75741120416
-0.10672403164729,-0.0143219180915275,1.22445136372333,1.16468601599584,-2.02445337735889,-0.289897331784775,-0.017526386631018,-6.03616918466562,-1.67838073091835,-4.30875781444156,-2.45280321207814,1.87527108525201,0.472060215300348,0.269191763085029,0.122972514972936,-0.550213598968587,-6021.88732835718
-0.0890475753168555,-0.0142900722799926,1.3556287409083,1.32056174159649,-2.22153884694939,-0.305110646980595,-0.00281512145407592,-2.0377814889615,-1.41923646243107,-4.4590644095837,-2.94006808066468,1.63444171118945,-0.363607711012368,-0.869121210751507,-1.26272215597047,-2.3713387307213,-5610.69330810962
-0.110791321299929,-0.01278688945272,1.36171184598634,1.43906571900877,-2.44779840845725,-0.287724246941344,-0.0247837019136483,-1.36221911487033,-1.69076844088569,-4.27639186323681,-2.72332012623749,1.83362875506436,-0.381623527572541,-2.52751175861698,-0.194137643915014,-2.18950101423438,-5248.64502143591
-0.117539139574225,-0.0123699055560197,1.34632587080928,1.44828145594699,-3.21404459113668,-0.352076614376208,-0.0234980987791782,-1.39053409410765,-1.01261151970766,-4.54502894931929,-3.50551806069778,1.37438961875194,-0.898193709670425,-2.03860758668171,0.718031773912689,-1.41928745205817,-4870.89271479446
-0.122412608299663,-0.0100864869088636,1.16486036647146,1.40004041030542,-4.51911558346531,-0.383841987403894,-0.0257137554519905,-2.46529002865409,-0.232477882444827,-5.21074044402332,-3.71955944439178,1.01425807838159,-0.737534815376754,-1.52784838013531,1.66488769372719,-0.266874502467356,-4819.57890453983
-0.126806662950631,-0.0124500347950983,1.06873878990324,1.09637357491286,-4.79362661760814,-0.503024621020311,-0.027482063508076,-0.77186037329526,0.126254199117539,-5.31076467324301,-2.836137314649,-0.138915912759527,-0.601936690294798,-1.38087738475815,0.846946480507675,-0.420478419850013,-4675.27510456147
-0.124936187991388,-0.0135883163416235,1.05269302106508,1.09194826105719,-4.9017131062411,-0.51015261688441,-0.0267008651392245,-0.563397756680111,0.0813617403516255,-5.26355293741125,-2.15555142760079,-0.0675692365502529,-0.394997241232938,-1.12357997916564,0.499481433522849,-0.514429377079108,-4574.62950799531
-0.123253497953828,-0.0140616495201368,1.04067222033135,1.0999669378806,-5.07643084646426,-0.512271366467844,-0.0251398460711854,-0.486345705964528,0.0198931852883925,-5.11066109152452,-1.73989699422419,-0.0409968894974355,-0.0735737719548702,-0.646053518849432,0.186788913690843,-0.582453129873376,-4509.7035585351
-0.125636987803053,-0.0159385884115915,1.07919952495106,1.0720712530878,-5.59087272674955,-0.492732311892544,-0.0218101520507965,-0.758125906651817,-0.125840079528261,-4.69045491224684,-1.4581187960547,0.184103820577091,0.46786827041679,0.458817521589883,0.00671207745389465,-0.550539251998722,-4460.18967567512
-0.124060190833369,-0.015856743188461,1.08511051415556,1.1009937295155,-5.6124546340138,-0.479337267705303,-0.0211567779105985,-0.941896019068396,-0.151835363848025,-4.49035577578917,-1.71674313724418,0.431163881698184,0.416218719912562,0.473482970827656,0.157802269928716,-0.515709931048002,-4452.54654197432
-0.123588074371274,-0.016159050794346,1.09324167492719,1.10412130598839,-5.79981016737336,-0.471262047400063,-0.0208794770524494,-0.844791467537717,-0.112484493301912,-4.35396473756451,-1.70155690404495,0.35002409072806,0.379821540118816,0.349617122294437,0.171761953555026,-0.596926313652515,-4446.54421758126
-0.124252007478647,-0.0167458951932198,1.12024113323521,1.10390615798042,-5.98184844006849,-0.453425124962652,-0.0202838168950079,-0.905571309759023,-0.135798935078072,-4.25076006722747,-1.71662233160314,0.41884787673267,0.340839119824898,0.350776592271993,0.187700982355624,-0.592058874057996,-4441.20526347886
-0.123499486030353,-0.0172066351471817,1.12979731488412,1.10488349153725,-6.16676312924055,-0.443123664670083,-0.0199652902301603,-0.824548779800501,-0.109752374348253,-4.15348215366875,-1.68308863607442,0.406133251963294,0.350259150794557,0.344831015020534,0.163596096570688,-0.631646176301026,-4435.61516867218
-0.123371174653169,-0.0177497972512511,1.14917763094688,1.10698211128281,-6.36170473617517,-0.427636942651998,-0.0194735140505865,-0.828600144119601,-0.10960586126721,-4.05331256483535,-1.67628049266395,0.433257231791275,0.318611233208914,0.341219554896471,0.175377484951645,-0.627191151235473,-4429.60611560988
-0.122880541465844,-0.0182919003284534,1.1639785137575,1.10900201297915,-6.58128675655007,-0.415861028729661,-0.019112547988711,-0.757218197072636,-0.0898172911796896,-3.95665677513471,-1.65749154623239,0.434927848727498,0.325553925390606,0.350746229450503,0.177135116304482,-0.644178268446258,-4422.85224679854
