country,chosen_type,n,share
China,Special,1409,0.41735781990521326
China,Organic,1058,0.31338862559241704
China,Ordinary,554,0.1640995260663507
China,No-buy,355,0.10515402843601895
Japan,Special,1387,0.4208131067961165
Japan,Organic,875,0.2654733009708738
Japan,Ordinary,714,0.216626213592233
Japan,No-buy,320,0.0970873786407767
