country,attribute,wtp,currency
China,Organic vs Ordinary,8.342371842239956,RMB/500g
China,Special vs Ordinary,6.509970486230996,RMB/500g
Japan,Organic vs Ordinary,40.187587208742855,JPY/500g
Japan,Special vs Ordinary,37.64235112417296,JPY/500g
