"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_price_cn",-0.175278817952606,0.00585065542917399,-29.9588345399025,0.010434762176851,-16.7975862776684
"b_price_jp",-0.0173531174652939,0.000558601902225269,-31.0652674045063,0.000872053714118932,-19.8991383034546
"b_organic_att",1.2602565961791,0.0598931085150486,21.0417630245799,0.0616873660487143,20.4297358908773
"b_spec_att",1.22934387518032,0.0637717710656359,19.2772421815766,0.0640531170191439,19.1925691112409
"asc_nobuy_att",-6.76096750246341,0.195651763024711,-34.5561286948868,0.253917605209987,-26.6266196740166
"asc_nobuy_no",-2.42845716337251,0.0994878998303601,-24.4095730989734,0.158503087020164,-15.321197896061
"delta_att",1.27044574280415,0.175906897034234,7.22226225477053,0.180807402486063,7.02651398856353
"gamma_eio_att",0.121505621716696,0.253183451806685,0.479911387769014,0.254131053125003,0.478121899006687
"gamma_eis_att",-0.403685580331583,0.235871633635155,-1.71146302804686,0.23689607245142,-1.70406193802291
"gamma_eios_att",-0.103329621486715,0.24548749576748,-0.420916027366976,0.245381282589692,-0.42109822068008
