"b_price_cn","b_price_jp","b_organic","b_spec","b_org_eio","b_org_eios","b_spec_eis","b_spec_eios","asc_nobuy_cn","asc_nobuy_jp","gamma_seg1","gamma_seg2","gamma_seg3","gamma_seg4","logLike"
-0.1,-0.01,0.5,0.5,0,0,0,0,0,0,0,0,0,0,-10291.6234236637
-0.0857434973920715,-0.00909642946738561,0.614913055799732,0.737276873356602,0.107081183755021,0.0954008064458664,0.17015142105025,0.174966806569323,-0.493997167249144,-0.256548439904038,-0.26358846493637,-0.27560073735321,-0.262724832905871,-0.295323510161066,-7595.36298299471
-0.122200368184203,-0.0107087968277701,0.699101602540195,0.952162148692142,0.276640006838836,0.188109528657067,0.129473322074738,0.168873899649399,-2.09515069658496,-1.83181589338778,-0.32937292736873,-0.320502525509648,-0.344252466366612,-0.567854626893578,-5617.01982219681
-0.131932990691319,-0.0171961491882176,0.830928388008465,0.866436073041027,0.424507801106752,0.236099749875803,0.154185181032703,0.326770330298057,-2.04756266891968,-4.53399570184574,-0.499996206171715,-0.230669835903866,-0.45400228056109,-0.89014593941334,-5079.3291527531
-0.146388650250198,-0.023511861670138,0.983755922119907,0.867488249289235,0.431847337770825,0.146848301167222,0.153764937594689,0.210100875387093,-2.40737366495215,-6.88032412102071,0.169250416963972,0.336914542148538,0.166141562278527,-0.467724733135929,-5011.79491902159
-0.144180650680032,-0.0229805512981933,0.942594295176319,0.855551663798166,0.449845127584348,0.149121671405259,0.0981494410136952,0.17528678595373,-2.38907527509761,-6.85256730135396,0.223682951700477,0.352057543803402,0.211315092433979,-0.460551198168797,-5010.44028906841
-0.144693950578239,-0.0230109402796104,0.95144927160253,0.863367670282368,0.452515562755329,0.148675354014919,0.0921911394568358,0.171831919078677,-2.38062155117568,-6.85574205490386,0.228137803686416,0.340261317633984,0.214969248360488,-0.460346643470921,-5010.4081515821
-0.144638482502313,-0.0230128682745225,0.950113566109513,0.863205297117045,0.453795901225267,0.148684188884906,0.0925996062989028,0.171812166949182,-2.38101198867962,-6.85747196903691,0.228987799749655,0.338753113424777,0.215553251248829,-0.459525891397919,-5010.40728119676
-0.144642936631652,-0.0230134998672069,0.950214583610314,0.863211855197578,0.453718977575136,0.148696968270333,0.092743660063385,0.171866938783112,-2.38113024603861,-6.8577745127361,0.229113197594712,0.338953000465832,0.215722638662972,-0.459328766892233,-5010.40727685308
-0.144642727199896,-0.0230135227490044,0.950223664752314,0.863213100184689,0.453710054376713,0.14868610364885,0.0927461046622276,0.171862626801677,-2.3811282652206,-6.85778120458736,0.229106712219395,0.338948141495873,0.21571444677315,-0.459338141237154,-5010.40727680894
