"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_price_cn_1",0.14485625396602,0.0304531516023991,4.75669171642019,0.0395860376615822,3.65927641468905
"b_price_jp_1",-0.0779287574299058,0.00559705944476498,-13.9231605808285,0.00854687084863791,-9.11781151371031
"b_organic_1",2.67758365844093,0.217688827201484,12.3000509160843,0.284184047953596,9.42200548455185
"b_spec_1",2.18919076815347,0.292180855435279,7.49258798935371,0.342269925609147,6.39609443995789
"asc_nobuy_1",-25.4225499607697,1.79885933748079,-14.1325947121428,2.68626782256596,-9.46389252300453
"b_price_cn_2",-0.762566265580318,0.051531915483431,-14.7979414005192,0.0777321489653866,-9.81017861631334
"b_price_jp_2",-0.0253032213454947,0.0017200693281215,-14.7105822607328,0.00320043812570588,-7.90617420229422
"b_organic_2",-0.415522987757228,0.257788516988512,-1.61187547300932,0.323995703820522,-1.28249536292434
"b_spec_2",-0.0478445750997204,0.198363816516564,-0.241196080716289,0.268000356629112,-0.178524296390892
"asc_nobuy_2",-5.54828605500698,0.344277736638224,-16.1157271137671,0.642883068705169,-8.63031914370025
"b_price_cn_3",-0.182470878766571,0.00906394440358768,-20.1315090474679,0.0141987818481906,-12.8511643264542
"b_price_jp_3",-0.00234107667899633,0.00166781854810996,-1.40367588647419,0.00368224672244153,-0.635773986769705
"b_organic_3",1.27305081243005,0.0893008970955728,14.2557449458496,0.116632973423746,10.9150163548077
"b_spec_3",1.2537267381291,0.0846377920782048,14.8128478702594,0.110389592121188,11.3572911543393
"asc_nobuy_3",-3.55315005683702,0.143608229190745,-24.7419669252909,0.248902895742361,-14.2752459598336
"delta_class2",-0.965636182991891,0.328133759677294,-2.9428126625604,0.31871414769571,-3.02978763250204
"gamma_china_class2",0.999884482690483,0.262377985851674,3.81085508925178,0.268516435568746,3.72373661438124
"gamma_seg1_class2",-0.304594019891741,0.381034880786228,-0.799386185493677,0.364561490250483,-0.835507940464201
"gamma_seg2_class2",0.211599366545898,0.339415666609025,0.623422509219766,0.331786631009108,0.637757362020079
"gamma_seg3_class2",-0.0122607559769994,0.369374587499074,-0.0331932850606029,0.358544536290271,-0.0341959080003196
"gamma_seg4_class2",-0.51729010385364,0.42111006549115,-1.22839643657131,0.432245825310198,-1.19674979736915
"delta_class3",-0.657338840373723,0.287748586944359,-2.28442074157199,0.327063879114691,-2.00981790515367
"gamma_china_class3",2.15251869330109,0.242416792828219,8.87941247051479,0.288674141313824,7.45656913883754
"gamma_seg1_class3",-1.15386431549023,0.364676827112077,-3.16407358435093,0.351945545973693,-3.27853080878734
"gamma_seg2_class3",-0.123409269759522,0.293873871220442,-0.419939579000374,0.319412893681983,-0.386362830682698
"gamma_seg3_class3",-0.235930033272304,0.31961897591928,-0.738160281609463,0.329991658662357,-0.714957566590203
"gamma_seg4_class3",0.0277973362436187,0.324800111293238,0.0855829024594223,0.347475495474504,0.0799979757008747
