Model,LL,k,AIC,BIC
M1: Pooled MNL,-5833.83,4,11675.65,11702.88
M2: Country MNL + SEG,-5023.04,12,10070.08,10151.74
M3: Info Interactions,-5010.41,14,10048.81,10144.09
M4: 2-class LCM,-4370.19,16,8772.38,8881.27
M4b: 3-class LCM,-3729.63,27,7513.25,7697.01
M5: ANA 2-class,-4609.82,10,9239.63,9307.69
