ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIO	EIS	EIOS	EIC	SEG2	SEG3	SEG4	SEG5	SEG1
1001	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1001	10	0	1	0	1	1	1	0	0	0	0	1	0	0	0
1001	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1002	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1002	6	1	0	0	1	1	1	0	0	0	0	1	0	0	0
1002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1003	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0
1003	14	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1003	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1004	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1004	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1004	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
1005	6	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1005	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1005	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1006	10	0	1	0	1	1	1	0	0	0	0	1	0	0	0
1006	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1006	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1007	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1007	6	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1007	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1008	14	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1008	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0
1008	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2001	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2001	10	0	1	0	1	1	1	0	0	0	0	1	0	0	0
2001	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2002	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
2002	6	1	0	0	1	1	1	0	0	0	0	1	0	0	0
2002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2003	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0
2003	14	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2003	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2004	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2004	10	1	0	0	1	1	1	0	0	0	0	1	0	0	0
2004	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2005	6	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2005	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2005	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2006	10	0	1	0	1	1	1	0	0	0	0	1	0	0	0
2006	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2006	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2007	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0
